,game_name,stream_count,total_viewer_count,average_viewer_count
0,Dota 2,52,429340,8256
1,Planet Zoo,1,10415,10415
2,The Elder Scrolls V: Skyrim,1,2980,2980
3,Travel & Outdoors,4,24559,6139
4,Grounded,1,2483,2483
5,NieR Replicant Ver.1.22474487139...,2,14227,7113
6,The Witcher 3: Wild Hunt,2,8039,4019
7,Fall Guys: Ultimate Knockout,1,6834,6834
8,Blocksplode,1,3201,3201
9,Diablo II,1,3025,3025
10,Mad Father,1,4314,4314
11,Bendy and the Ink Machine,1,74837,74837
12,MapleStory,6,39484,6580
13,For The King,2,6182,3091
14,Fights in Tight Spaces,1,3197,3197
15,Medal of Honor: Above and Beyond,1,3854,3854
16,Brawlhalla,1,3936,3936
17,Dead by Daylight,11,57328,5211
18,Puyo Puyo Tetris,1,4346,4346
19,DayZ,2,8801,4400
20,Talk Shows & Podcasts,2,14397,7198
21,Diablo II: Resurrected,8,36194,4524
22,Umamusume: Pretty Derby,1,4268,4268
23,FRIDAY NIGHT FUNKIN',1,4389,4389
24,Silent Hill 4: The Room,1,3277,3277
25,Street Fighter Alpha 2,1,9404,9404
26,Valheim,1,12374,12374
27,Diablo III,1,13816,13816
28,Business Tour,1,44085,44085
29,Minecraft,17,238188,14011
30,Project Zomboid,1,4577,4577
31,Resident Evil 4,2,6919,3459
32,Art,9,32289,3587
33,Pumpkin Days,1,4995,4995
34,Rust,1,4264,4264
35,Final Fantasy X,1,2995,2995
36,Krunker,5,15053,3010
37,ALTF4,3,15161,5053
38,Summoners War: Lost Centuria,7,45490,6498
39,Bayonetta 2,1,2676,2676
40,Super Smash Bros. Ultimate,2,9029,4514
41,Overwatch,9,39839,4426
42,A LO QUE VINIMOS CAP 8 😈👁️,1,3031,3031
43,Sports,4,63937,15984
44,Sea of Thieves,5,141706,28341
45,Super Mario Odyssey,1,3765,3765
46,Food & Drink,1,3990,3990
47,Hobo: Tough Life,1,3144,3144
48,Resident Evil: Code Veronica X HD,1,3108,3108
49,Street Fighter V,2,10411,5205
50,Just Chatting,196,1802613,9197
51,Tom Clancy's Rainbow Six Siege,13,128837,9910
52,VRChat,6,30682,5113
53,Among Us,6,39359,6559
54,Resident Evil Village,1,16371,16371
55,World of Warcraft,3,47409,15803
56,War,1,5084,5084
57,VALORANT,71,641020,9028
58,First Class Trouble,1,2258,2258
59,Resident Evil 2,1,3078,3078
60,Lineage 2M,4,18618,4654
61,Call Of Duty: Modern Warfare,1,3629,3629
62,HITMAN 2,1,3416,3416
63,The Isle,3,32790,10930
64,Dofus,2,12184,6092
65,Pokémon Sword/Shield,1,3020,3020
66,The Legend of Zelda: Ocarina of Time 3D,1,5525,5525
67,Grand Theft Auto V,172,2402318,13966
68,Path of Exile,25,198142,7925
69,ASMR,4,33273,8318
70,Spyro the Dragon: Reignited Trilogy,1,4496,4496
71,Roblox,1,5507,5507
72,Tomb Raider,1,2390,2390
73,Enlisted,10,46336,4633
74,PLAYERUNKNOWN'S BATTLEGROUNDS,5,14894,2978
75,Teamfight Tactics,19,98650,5192
76,The Binding of Isaac: Repentance,12,70339,5861
77,Beat Saber,1,3352,3352
78,Garena Free Fire,12,171458,14288
79,FINAL FANTASY XIV Online,2,7166,3583
80,Romance of the Three Kingdoms XIV,3,16845,5615
81,Apex Legends,35,270187,7719
82,LOST ARK,8,27465,3433
83,Dungeons & Dragons,1,61974,61974
84,Dragon's Dogma: Dark Arisen,2,7747,3873
85,FIFA 21,6,28287,4714
86,MLB The Show 21,2,7670,3835
87,Eternal Return: Black Survival,2,6185,3092
88,League of Legends,108,1074481,9948
89,Brawl Stars,1,30061,30061
90,Resident Evil 3,1,2562,2562
91,Scarlet Hood and the Wicked Wood,1,5258,5258
92,Far Cry 5,1,4770,4770
93,Mario Kart 8,1,3444,3444
94,Escape from Tarkov,10,61209,6120
95,Starbound,2,5765,2882
96,Chess,13,83782,6444
97,Poker,2,7623,3811
98,Risk of Rain 2,1,6570,6570
99,Golf It!,1,3539,3539
100,Rocket League,12,114039,9503
101,League of Legends: Wild Rift,2,10947,5473
102,Call of Duty: Black Ops Cold War,1,15153,15153
103,I'm Only Sleeping,1,11144,11144
104,The Binding of Isaac: Rebirth,1,4117,4117
105,Haunted PS1 Demo Disc 2021,1,3602,3602
106,World of Tanks,1,2572,2572
107,Marvel vs. Capcom: Clash of Super Heroes,1,10472,10472
108,Heavy Rain,1,3320,3320
109,F1 Race Stars,1,4325,4325
110,Control,1,3579,3579
111,Music,9,68421,7602
112,War by Grow Games,1,11956,11956
113,My Summer Car,1,3256,3256
114,Across the Obelisk,1,2711,2711
115,Euro Truck Simulator 2,2,13200,6600
116,R.I.S.K.,1,2277,2277
117,The Binding of Isaac: Afterbirth,8,49067,6133
118,Plants vs. Zombies,1,4056,4056
119,Retro,1,3154,3154
120,MORDHAU,1,16224,16224
121,Outriders,2,6007,3003
122,Say No! More,1,5637,5637
123,Chivalry 2,1,2909,2909
124,Tabletop RPGs,1,17145,17145
125,Slots,17,242173,14245
126,Resident Evil 7 biohazard,1,3322,3322
127,Fortnite,50,324587,6491
128,Games + Demos,1,2930,2930
129,Youtubers Life,1,9337,9337
130,The Elder Scrolls III: Morrowind,1,3555,3555
131,Beyond: Two Souls,1,7659,7659
132,It Takes Two,11,40743,3703
133,Resident Evil,2,17392,8696
134,Counter-Strike: Global Offensive,32,138332,4322
135,Shadow of the Colossus,1,3967,3967
136,SkyGunner,1,3499,3499
137,NBA 2K21,2,8844,4422
138,Resident Evil: Revelations 2,1,3993,3993
139,Final Fantasy VII,4,14807,3701
140,Marvel vs. Capcom 2: New Age of Heroes,1,9230,9230
141,The Walking Dead: Season One,1,2982,2982
142,Hearthstone,34,114632,3371
143,Call of Duty: Warzone,76,1462040,19237
144,ARK: Survival Evolved,6,37700,6283
145,Scooby-Doo and the Cyber Chase,1,2658,2658
146,Super Smash Bros. Melee,1,2360,2360
147,Home Sweet Home: Survive,1,2253,2253
148,Metin2,1,10184,10184
149,Super Mario Maker 2,6,15738,2623
150,XCOM 2,1,10486,10486
151,Tom Clancy's The Division 2,1,25516,25516
152,Mario Kart 8 Deluxe,1,2938,2938
153,Anime Land,1,2271,2271
154,Gartic Phone,2,5501,2750
155,Winning Post 9: 2021,1,14553,14553
156,SMITE,1,4508,4508
157,StarCraft,10,50213,5021
158,Hunt: Showdown,1,3118,3118
159,Dark Souls III,2,22792,11396
160,Everhood,1,9078,9078
